"","ID","lgbtq.gender.conceal","lgbq.conceal","lgbtq.gender.reveal.why","lgbq.reveal.why","lgbtq.gender.reveal.benefit","lgbq.reveal.benefit","lgbtq.gender.conceal.why","lgbq.conceal.why"
"38",1665,"","yes","","I felt like I had a personal relationship with the students in the course<split here>I felt that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to students in this course was appropriate<split here>I typically share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people<split here>I felt my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the students in this course<split here>I felt my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the course content<split here>I prefer to live authentically or be open with others about my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I wanted to be an example to my students of someone with an LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I wanted to serve as a mentor to students with LGBTQ+ identities referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I wanted to be known as a supporter of individuals who identify as LGBTQ+ referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I thought revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) could make me more relatable to students<split here>I thought revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) could make students more comfortable<split here>I thought revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) could help students understand me or my circumstances better<split here>I thought that I could better engage students in the course material by making a connection between my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) and the course content","","","",""
"39",1696,"","yes","","I felt that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to students in this course was appropriate<split here>I typically share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people<split here>I prefer to live authentically or be open with others about my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I wanted to be an example to my students of someone with an LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I wanted to serve as a mentor to students with LGBTQ+ identities referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I wanted to be known as a supporter of individuals who identify as LGBTQ+ referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I thought revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) could make me more relatable to students<split here>I thought revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) could make students more comfortable<split here>I thought revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) could help students understand me or my circumstances better","","","",""
"40",1714,"","yes","","","","no","","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the students in this course<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the course content"
"41",1769,"yes","yes","I felt like I had a personal relationship with the students in the course<split here>I felt that revealing my LGBTQ+ gender identity (eg transgender, non-binary) to students in this course was appropriate<split here>I typically share my LGBTQ+ gender identity (eg transgender, non-binary) with people<split here>I felt my LGBTQ+ gender identity (eg transgender, non-binary) was relevant to the students in this course<split here>I prefer to live authentically or be open with others about my LGBTQ+ gender identity (eg transgender, non-binary)<split here>I wanted to be an example to my students of someone who identifies as LGBTQ+ due to my gender identity (eg transgender, non-binary)<split here>I wanted to serve as a mentor to students with LGBTQ+ gender identities (eg transgender, non-binary)<split here>I wanted to be known as a supporter of individuals who identify as LGBTQ+ due to their gender (eg transgender, non-binary)<split here>I thought revealing my LGBTQ+ gender identity (eg transgender, non-binary) could make me more relatable to students<split here>I thought revealing my LGBTQ+ gender identity (eg transgender, non-binary) could make students more comfortable","I felt like I had a personal relationship with the students in the course<split here>I felt that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to students in this course was appropriate<split here>I typically share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people<split here>I felt my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the students in this course<split here>I prefer to live authentically or be open with others about my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I wanted to be an example to my students of someone with an LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I wanted to serve as a mentor to students with LGBTQ+ identities referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I wanted to be known as a supporter of individuals who identify as LGBTQ+ referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I thought revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) could make me more relatable to students<split here>I thought revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) could make students more comfortable","","","",""
"42",1825,"","","","","","","",""
"43",1878,"","yes","","","","no","","I typically do not share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people"
"44",1882,"","yes","","I typically share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people<split here>I prefer to live authentically or be open with others about my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I wanted to be an example to my students of someone with an LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I wanted to serve as a mentor to students with LGBTQ+ identities referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I wanted to be known as a supporter of individuals who identify as LGBTQ+ referring to sexuality and/or romantic attraction (eg gay, bisexual)","","","",""
"45",1891,"","yes","","","","no","","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to all undergraduates in this course was inappropriate<split here>I typically do not share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the students in this course<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I was concerned students would have a negative opinion about my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I was concerned that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) would result in poor course evaluations<split here>I was concerned that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) would waste class time"
"46",1902,"","yes","","","","no","","I typically do not share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people"
"47",1923,"no","no","I felt that revealing my LGBTQ+ gender identity (eg transgender, non-binary) to students in this course was appropriate<split here>I typically share my LGBTQ+ gender identity (eg transgender, non-binary) with people<split here>I felt my LGBTQ+ gender identity (eg transgender, non-binary) was relevant to the students in this course<split here>I prefer to live authentically or be open with others about my LGBTQ+ gender identity (eg transgender, non-binary)<split here>I wanted to be an example to my students of someone who identifies as LGBTQ+ due to my gender identity (eg transgender, non-binary)<split here>I wanted to serve as a mentor to students with LGBTQ+ gender identities (eg transgender, non-binary)<split here>I wanted to be known as a supporter of individuals who identify as LGBTQ+ due to their gender (eg transgender, non-binary)","I felt that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to students in this course was appropriate<split here>I typically share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people<split here>I felt my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the students in this course<split here>I prefer to live authentically or be open with others about my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I wanted to be an example to my students of someone with an LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I wanted to serve as a mentor to students with LGBTQ+ identities referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I wanted to be known as a supporter of individuals who identify as LGBTQ+ referring to sexuality and/or romantic attraction (eg gay, bisexual)","","","",""
"48",1953,"","yes","","I felt like I had a personal relationship with the students in the course<split here>I felt that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to students in this course was appropriate<split here>I typically share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people<split here>I felt my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the course content<split here>I prefer to live authentically or be open with others about my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I wanted to be an example to my students of someone with an LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I wanted to serve as a mentor to students with LGBTQ+ identities referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I wanted to be known as a supporter of individuals who identify as LGBTQ+ referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I thought revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) could make me more relatable to students<split here>I thought revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) could make students more comfortable<split here>I thought revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) could help students understand me or my circumstances better<split here>I thought that I could better engage students in the course material by making a connection between my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) and the course content","","","",""
"49",1966,"yes","yes","","","no","no","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my LGBTQ+ gender identity (eg transgender, non-binary) to all undergraduates in this course was inappropriate<split here>I typically do not share my LGBTQ+ gender identity (eg transgender, non-binary) with people<split here>I did not feel my LGBTQ+ gender identity (eg transgender, non-binary) was relevant to the students in this course<split here>I did not feel my LGBTQ+ gender identity (eg transgender, non-binary) was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my LGBTQ+ gender identity (eg transgender, non-binary) to all students in this course<split here>I was concerned that I would be subjected to departmental disciplinary action for revealing my LGBTQ+ gender identity (eg transgender, non-binary)<split here>I was concerned I could be fired for revealing my LGBTQ+ gender identity (eg transgender, non-binary)","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to all undergraduates in this course was inappropriate<split here>I typically do not share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the students in this course<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to all students in this course<split here>I was concerned that I would be subjected to departmental disciplinary action for revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I was concerned I could be fired for revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)"
"50",1979,"","yes","","","","yes","","I typically do not share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the course content<split here>I was concerned students would have a negative opinion about my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>Other, please describe:"
"51",2003,"","yes","","","","no","","I did not feel like I had a personal enough relationship with the students in this course<split here>I typically do not share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the course content<split here>I was concerned students would have a negative opinion about my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)"
"52",2008,"","yes","","","","no","","I typically do not share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the course content"
"53",2025,"","yes","","","","no","","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to all undergraduates in this course was inappropriate<split here>I typically do not share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to all students in this course<split here>I was concerned students would have a negative opinion about my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I was concerned that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) would result in poor course evaluations<split here>Other, please describe:"
"54",2046,"","yes","","","","yes","","I typically do not share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people"
"55",2066,"no","no","I felt that revealing my LGBTQ+ gender identity (eg transgender, non-binary) to students in this course was appropriate<split here>I typically share my LGBTQ+ gender identity (eg transgender, non-binary) with people<split here>I felt my LGBTQ+ gender identity (eg transgender, non-binary) was relevant to the students in this course<split here>I prefer to live authentically or be open with others about my LGBTQ+ gender identity (eg transgender, non-binary)<split here>I wanted to be an example to my students of someone who identifies as LGBTQ+ due to my gender identity (eg transgender, non-binary)<split here>I wanted to serve as a mentor to students with LGBTQ+ gender identities (eg transgender, non-binary)<split here>I wanted to be known as a supporter of individuals who identify as LGBTQ+ due to their gender (eg transgender, non-binary)<split here>I thought revealing my LGBTQ+ gender identity (eg transgender, non-binary) could make students more comfortable","I felt that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to students in this course was appropriate<split here>I typically share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people<split here>I prefer to live authentically or be open with others about my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I wanted to be an example to my students of someone with an LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I wanted to serve as a mentor to students with LGBTQ+ identities referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I wanted to be known as a supporter of individuals who identify as LGBTQ+ referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I thought revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) could make students more comfortable","","","",""
"56",2094,"","yes","","","","","",""
"57",2096,"","","","","","","",""
"58",2112,"","","","","","","",""
"59",2127,"","yes","","","","no","","I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the course content"
"60",2149,"","yes","","","","no","","I did not feel like I had a personal enough relationship with the students in this course<split here>I typically do not share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the students in this course<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to all students in this course<split here>I was concerned students would have a negative opinion about my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I was concerned that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) would result in poor course evaluations<split here>I was concerned that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) would waste class time"
"61",2154,"","","","","","","",""
"62",224,"","yes","","","","no","","I did not feel like I had a personal enough relationship with the students in this course"
"63",228,"","yes","","I wanted to be an example to my students of someone with an LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I wanted to be known as a supporter of individuals who identify as LGBTQ+ referring to sexuality and/or romantic attraction (eg gay, bisexual)","","","",""
"64",239,"","yes","","","","yes","","I typically do not share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the students in this course<split here>I was concerned that I would be subjected to departmental disciplinary action for revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>Other, please describe:"
"65",249,"yes","yes","","","yes","no","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my LGBTQ+ gender identity (eg transgender, non-binary) to all undergraduates in this course was inappropriate<split here>I typically do not share my LGBTQ+ gender identity (eg transgender, non-binary) with people<split here>I did not feel my LGBTQ+ gender identity (eg transgender, non-binary) was relevant to the students in this course<split here>I did not feel my LGBTQ+ gender identity (eg transgender, non-binary) was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I was concerned students would have a negative opinion about my LGBTQ+ gender identity (eg transgender, non-binary)<split here>I was concerned that revealing my LGBTQ+ gender identity (eg transgender, non-binary) would result in poor course evaluations<split here>I was concerned that I would be subjected to departmental disciplinary action for revealing my LGBTQ+ gender identity (eg transgender, non-binary)<split here>I was concerned I could be fired for revealing my LGBTQ+ gender identity (eg transgender, non-binary)<split here>I was concerned that revealing my LGBTQ+ gender identity (eg transgender, non-binary) would waste class time","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to all undergraduates in this course was inappropriate<split here>I typically do not share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the students in this course<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I was concerned students would have a negative opinion about my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I was concerned that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) would result in poor course evaluations<split here>I was concerned that I would be subjected to departmental disciplinary action for revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I was concerned that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) would waste class time"
"66",250,"","yes","","","","no","","I thought that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to all undergraduates in this course was inappropriate<split here>I typically do not share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the students in this course<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the course content<split here>I was concerned students would have a negative opinion about my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I was concerned that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) would result in poor course evaluations<split here>I was concerned that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) would waste class time"
"67",280,"","yes","","","","no","","Other, please describe:"
